,Type,Contribution,SP500_Close,Shares_Bought,Cumulative_Shares,Cumulative_Invested,Cumulative_Value
2018-03-01,Fixed_DCA,475.0000,238.3214,1.9931,379.5682,52375.0000,90459.2349
2018-03-23,Extra_Extreme_Dip+Extra_Pullback,475.0000,230.6505,2.0594,381.6276,52850.0000,88022.6060
2018-03-24,Extra_Pullback,175.0000,230.6505,0.7587,382.3863,53025.0000,88197.6060
2018-04-01,Fixed_DCA,475.0000,235.2090,2.0195,384.4058,53500.0000,90415.6972
2018-05-01,Fixed_DCA,475.0000,236.8447,2.0055,386.4113,53975.0000,91519.4801
2018-06-01,Fixed_DCA,475.0000,244.5495,1.9423,388.3537,54450.0000,94971.7092
2018-07-01,Fixed_DCA,475.0000,243.5646,1.9502,390.3039,54925.0000,95064.2043
2018-08-01,Fixed_DCA,475.0000,252.1658,1.8837,392.1875,55400.0000,98896.2724
2018-09-01,Fixed_DCA,475.0000,260.6503,1.8224,394.0099,55875.0000,102698.8103
2018-10-01,Fixed_DCA,475.0000,263.1111,1.8053,395.8152,56350.0000,104143.3599
2018-10-10,Extra_Purple,250.0000,250.9985,0.9960,396.8112,56600.0000,99599.0166
2018-11-01,Fixed_DCA,475.0000,246.6784,1.9256,398.7368,57075.0000,98359.7589
2018-12-01,Fixed_DCA,475.0000,248.6084,1.9106,400.6475,57550.0000,99604.3424
2019-01-01,Fixed_DCA,475.0000,226.7189,2.0951,402.7426,58025.0000,91309.3531
2019-02-01,Fixed_DCA,475.0000,244.9891,1.9389,404.6814,58500.0000,99142.5537
2019-03-01,Fixed_DCA,475.0000,254.3875,1.8672,406.5487,58975.0000,103420.8774
2019-04-01,Fixed_DCA,475.0000,260.4373,1.8239,408.3725,59450.0000,106355.4422
2019-05-01,Fixed_DCA,475.0000,265.8861,1.7865,410.1590,59925.0000,109055.5789
2019-05-13,Extra_Purple,250.0000,255.9089,0.9769,411.1359,60175.0000,105213.3392
2019-06-01,Fixed_DCA,475.0000,250.8155,1.8938,413.0297,60650.0000,103594.2412
2019-07-01,Fixed_DCA,475.0000,270.7042,1.7547,414.7844,61125.0000,112283.8791
2019-08-01,Fixed_DCA,475.0000,269.9535,1.7596,416.5440,61600.0000,112447.4870
2019-08-05,Extra_Extreme_Dip+Extra_Pullback+Extra_Purple,725.0000,259.8638,2.7899,419.3339,62325.0000,108969.6869
2019-09-01,Fixed_DCA,475.0000,267.7653,1.7739,421.1078,62800.0000,112758.0492
2019-10-01,Fixed_DCA,475.0000,269.7285,1.7610,422.8689,63275.0000,114059.7792
2019-11-01,Fixed_DCA,475.0000,281.5942,1.6868,424.5557,63750.0000,119552.4239
2019-12-01,Fixed_DCA,475.0000,289.1092,1.6430,426.1987,64225.0000,123217.9403
2020-01-01,Fixed_DCA,475.0000,297.5092,1.5966,427.7953,64700.0000,127273.0455
2020-02-01,Fixed_DCA,475.0000,297.3892,1.5972,429.3925,65175.0000,127696.6861
2020-02-24,Extra_Purple,250.0000,298.0269,0.8389,430.2313,65425.0000,128220.5076
2020-02-25,Extra_Extreme_Dip+Extra_Pullback,475.0000,288.9961,1.6436,431.8750,65900.0000,124810.1646
2020-02-26,Extra_Extreme_Dip+Extra_Pullback,475.0000,287.9331,1.6497,433.5247,66375.0000,124826.1130
2020-02-27,Extra_Extreme_Dip+Extra_Pullback,475.0000,275.0015,1.7273,435.2519,66850.0000,119694.9412
2020-02-28,Extra_Pullback,175.0000,273.8461,0.6390,435.8910,67025.0000,119367.0531
2020-03-01,Fixed_DCA,475.0000,273.8461,1.7346,437.6255,67500.0000,119842.0531
2020-04-01,Fixed_DCA,475.0000,228.8651,2.0755,439.7010,67975.0000,100632.2254
2020-05-01,Fixed_DCA,475.0000,262.9323,1.8065,441.5075,68450.0000,116086.5659
2020-06-01,Fixed_DCA,475.0000,284.0941,1.6720,443.1795,68925.0000,125904.6615
2020-07-01,Fixed_DCA,475.0000,289.9855,1.6380,444.8175,69400.0000,128990.6310
2020-08-01,Fixed_DCA,475.0000,304.9275,1.5577,446.3753,69875.0000,136112.0880
2020-09-01,Fixed_DCA,475.0000,329.2828,1.4425,447.8178,70350.0000,147458.7123
2020-10-01,Fixed_DCA,475.0000,316.0117,1.5031,449.3209,70825.0000,141990.6831
2020-10-28,Extra_Purple,250.0000,306.2794,0.8162,450.1371,71075.0000,137867.7300
2020-11-01,Fixed_DCA,475.0000,306.1668,1.5514,451.6886,71550.0000,138292.0676
2020-12-01,Fixed_DCA,475.0000,343.1837,1.3841,453.0727,72025.0000,155487.1544
2021-01-01,Fixed_DCA,475.0000,352.0476,1.3492,454.4219,72500.0000,159978.1554
2021-02-01,Fixed_DCA,475.0000,354.2603,1.3408,455.7628,72975.0000,161458.6444
2021-03-01,Fixed_DCA,475.0000,366.8308,1.2949,457.0576,73450.0000,167662.8081
2021-04-01,Fixed_DCA,475.0000,378.4522,1.2551,458.3127,73925.0000,173449.4712
